id,name,symbol,keywords
60,Praseodymium,Pr,"praseodymium, Pr"
33,Rare Earth Elements,REE,"rare earth elements, REE"
91,Rhenium,Re,"Re, rhenium"
95,Sulfur,S,"S, sulfur"
35,Rhodium,Rh,"rhodium, Rh"
75,Boron,B,"boron, B"
92,Rubidium,Rb,"Rb, rubidium"
11,Diamond,Di,"Di, diamond"
61,Salt,NaCl,"salt, NaCl"
2,Arsenic,As,"arsenic, As"
32,Potash KCl,KCl,"potash kcl, KCl"
73,Silica Sand,Si,"Si, silica sand"
38,Silver,Ag,"Ag, silver"
99,Aluminum,Al,"Al, aluminum"
74,Tellurium,Te,"tellurium, Te"
93,Scandium,SC,"SC, scandium"
83,Coal- Thermal/Steam,,"thermal, steam"
97,Yttrium,Y,"yttrium, Y"
102,Garnet,Grt,"garnet, Grt"
87,Titanium,Ti,"titanium, Ti"
84,Cesium,Cs,"cesium, Cs"
27,Nickel,Ni,"Ni, nickel"
47,Borate,Bor,"Bor, borate"
9,Cobalt,Co,"Co, cobalt"
63,Total Rare Earth Oxide,TREO,"total rare earth oxide, TREO"
62,Fluorspar,CaF2,"fluorspar, CaF2"
14,Gemstones,Gem,"Gem, gemstones"
16,Graphite,Gr,"graphite, Gr"
89,Ilmenite,FeTiO3,"ilmenite, FeTiO3"
41,Zinc,Zn,"Zn, zinc"
51,Tungsten,W,"W, tungsten"
46,Uranium,U,"uranium, U"
88,Vanadium,V,"vanadium, V"
43,Zeolite,Zeo,"zeolite, Zeo"
4,Bauxite (Al2O3),Bx,"Bx, bauxite, al2o3"
3,Barite,BaSO4,"BaSO4, barite"
85,Beryllium,Be,"beryllium, Be"
6,Cadmium,Cd,"Cd, cadmium"
8,Coal,C,"coal, C"
80,Coal - Bituminous,,bituminous
77,Coal - Metallurgical/Coking,,"metallurgical, coking"
10,Copper,Cu,"copper, Cu"
81,Dolomite,Dol,"dolomite, Dol"
78,Iron,Fe,"Fe, iron"
76,Indium,In,"indium, In"
69,Kaolin,Kn,"kaolin, Kn"
71,Light Rare Earth Elements,LREE,"LREE, light rare earth elements"
56,Limestone,Lst,"Lst, limestone"
20,Lithium,Li,"lithium, Li"
21,Lithium (LCE),LCE,"lithium (lce), LCE"
22,Magnetite,Mag,"magnetite, Mag"
24,Manganese,Mn,"Mn, manganese"
59,Neodymium,Nd,"neodymium, Nd"
28,Niobium,Nb,"Nb, niobium"
90,Nitrate,Nit,"nitrate, Nit"
42,Opal,Opl,"Opl, opal"
29,Osmium,Os,"Os, osmium"
44,Palladium,Pd,"Pd, palladium"
66,Perlite,Prl,"Prl, perlite"
30,Phosphate,P,"phosphate, P"
86,Tantalum,Ta,"Ta, tantalum"
70,Pyrophyllite,Pyro,"Pyro, pyrophyllite"
36,Ruthenium,Ru,"ruthenium, Ru"
48,Rutile,TiO2,"rutile, TiO2"
101,Beryl,Brl,"beryl, Brl"
37,Silica,SiO2,"silica, SiO2"
94,Strontium,Sr,"strontium, Sr"
96,Thorium,Th,"Th, thorium"
39,Tin,Sn,"Sn, tin"
50,Total Rare Earth Elements,TREE,"total rare earth elements, TREE"
40,Uranium Oxide,U3O8,"U3O8, uranium oxide"
98,Zirconium,Zr,"zirconium, Zr"
1,Antimony,Sb,"antimony, Sb"
64,Asbestos,Ab,"asbestos, Ab"
7,Chromite,Cr2O3,"chromite, Cr2O3"
82,Coal - Metallurgical/PCI,,"metallurgical, pci"
54,Dysprosium,Dy,"Dy, dysprosium"
52,Celestine,Clt,"celestine, Clt"
12,Fluorite,Flr,"fluorite, Flr"
103,Germanium,Ge,"Ge, germanium"
55,Gypsum,Gp,"Gp, gypsum"
104,Heavy Mineral Sands,HMS,"heavy mineral sands, HMS"
17,Iridium,Ir,"Ir, iridium"
18,Iron Ore,Iron Ore,"iron ore, Iron Ore"
19,Lead,Pb,"Pb, lead"
57,Lithium Oxide (Li2O),Li2O,"Li2O, lithium oxide"
65,Magnesite,Mgs,"Mgs, magnesite"
23,Magnesium,Mg,"magnesium, Mg"
25,Mercury,Hg,"Hg, mercury"
58,Mica,Mca,"mica, Mca"
45,Platinum,Pt,"platinum, Pt"
49,Talc,Tc,"talc, Tc"
68,Tungsten Trioxide,WO3,"WO3, tungsten trioxide"
13,Gallium,Ga,"Ga, gallium"
15,Gold,Au,"Au, gold"
79,Heavy Rare Earth Oxides,HREO,"HREO, heavy rare earth oxides"
67,Jade,Jad,"jade, Jad"
117,Holmium,Ho,"holmium, Ho"
72,Light Rare Earth Oxides,LREO,"light rare earth oxides, LREO"
26,Molybdenum,Mo,"Mo, molybdenum"
31,Platinum Group Elements,PGE,"platinum group elements, PGE"
100,Barium,Ba,"Ba, barium"
5,Bismuth,Bi,"bismuth, Bi"
53,Diatomite,Diat,"Diat, diatomite"
156,Praseodymium ( III ) Oxide Pr2O3,Pr2O3,"Pr2O3, praseodymium iii"
106,Tantalum Pentoxide,Ta2O5,"Ta2O5, tantalum pentoxide"
121,Thulium,Tm,"Tm, thulium"
113,Cerium,Ce,"cerium, Ce"
114,Europium,Eu,"europium, Eu"
118,Lanthanum,La,"lanthanum, La"
154,Lanthanum Oxide La2O3,La2O3,"La2O3, lanthanum oxide"
119,Lutetium,Lu,"lutetium, Lu"
110,PGE 4E,Pt+Pd+Rh+Au,"pge 4e, Pt+Pd+Rh+Au"
155,"Praseodymium ( III,IV ) Oxide Pr6O11",Pr6O11,"praseodymium iii iv, Pr6O11"
129,Scandium Oxide,Sc2O3,"Sc2O3, scandium oxide"
131,Selenium,Se,"selenium, Se"
107,Aluminum Oxide (Alumina),Al2O3,"aluminum oxide, alumina, Al2O3"
148,Sodium,Na,"Na, sodium"
126,Sodium Oxide,Na2O,"Na2O, sodium oxide"
197,Emerald,,emerald
153,Cerium ( IV ) Oxide CeO2,CEO2,"cerium iv, CEO2"
171,Anatase,TiO2,"TiO2, anatase"
163,Dysprosium Oxide Dy2O3,Dy2O3,"Dy2O3, dysprosium oxide"
161,Terbium ( III ) Oxide Tb2O3,Tb4O7,"Tb4O7, terbium iii"
162,"Terbium ( III, IV ) Oxide Tb4O7",Tb4O7,"Tb4O7, terbium iii iv"
166,Thulium Oxide Tm2O3,Tm2O3,"Tm2O3, thulium oxide"
167,Ytterbium Oxide Yb2O3,Yb2O3,"Yb2O3, ytterbium oxide"
172,Zircon,ZrSiO4,"zircon, ZrSiO4"
135,Antimony Oxide,Sb2O3,"Sb2O3, antimony oxide"
108,Bromine,Br,"Br, bromine"
122,Chromium,Cr,"chromium, Cr"
164,Holmium Oxide Ho2O3,Ho2O3,"holmium oxide, Ho2O3"
133,Ferrous Oxide FeO,FeO,"FeO, ferrous oxide "
112,Frac Sand,SiO2,"frac sand, SiO2"
159,Europium Oxide Eu2O3,Eu2O3,"Eu2O3, europium oxide"
116,Gadolinium,Gd,"gadolinium, Gd"
160,Gadolinium Oxide Gd2O3,Gd2O3,"Gd2O3, gadolinium oxide"
142,Hafnium,HfO2,"hafnium, HfO2"
170,Leucoxene,FeTiO3,"FeTiO3, leucoxene"
125,Magnesium Oxide,MgO,"MgO, magnesium oxide"
141,Monazite,Mnz,"monazite, Mnz"
130,Niobium Oxide,Nb2O5,"Nb2O5, niobium oxide"
109,PGE 3E,Pt+Pd+Au,"pge 3e, Pt+Pd+Au"
111,PGE 6E,Pt+Pd+Rh+Ru+Ir+Au,"pge 6e, Pt+Pd+Rh+Ru+Ir+Au"
127,Phosphorus Oxide,P2O5,"phosphorus oxide, P2O5"
190,Hi-Ti Leucoxene,,hi-ti leucoxene
124,Potash K2O,K2O,"K2O, potash"
138,Ytterbium,Yb2O3,"Yb2O3, ytterbium"
196,3PGE,Pd+Pt+Au,"3pge, Pd+Pt+Au"
198,FerroChrome,,ferrochrome
120,Samarium,Sm,"samarium, Sm"
158,Samarium Oxide Sm2O3,Sm2O3,"samarium oxide, Sm2O3"
181,Soluble Copper SCu,,"soluble copper, Scu"
174,Staurolite,"(Fe,Mg)2Al9(Si,Al)4O20)O,OH)4","staurolite, Fe Mg 2Al9 Si Al 4O20 O OH 4"
132,Terbium,Tb,"terbium, Tb"
149,Potash,Pot,"Pot, potash"
178,Thorium Oxide,ThO2,"ThO2, thorium oxide"
202,Iodine,,iodine
177,Valuable Heavy Minerals,,valuable heavy minerals
173,Xenotime,YPO4,"xenotime, YPO4"
165,Erbium Oxide Er2O3,Er2O3,"erbium oxide, Er2O3"
123,Ferric Oxide Fe2O3,Fe2O3,"ferric oxide , Fe2O3"
176,Iron Sands,Fe3O4,"Fe3O4, iron sands"
175,Kyanite,Al2SiO6,"Al2SiO6, kyanite"
168,Lutetium Oxide Lu2O3,Lu2O3,"Lu2O3, lutetium oxide"
157,Neodymium Oxide Nd2O3,Nd2O3,"neodymium oxide, Nd2O3"
143,PGE 2E,Pt+Pd,"pge 2e, Pt+Pd"
169,Yttrium Oxide Y2O3,Y2O3,"Y2O3, yttrium oxide"
209,PGE 7E,Pt+Pd+Rh+Ru+Ir+Os+Au,"Pt+Pd+Rh+Ru+Ir+Os+Au, pge 7e"
182,Alunite,Aln,"Aln, alunite"
152,Cerium ( III ) Oxide Ce2O3,Ce2O3,"Ce2O3, cerium iii"
180,Cesium Oxide,Cs2O,"cesium oxide, Cs2O"
115,Erbium,Er,"erbium, Er"
183,Alunite K2O,AluK,"AluK, alunite k2o"
184,Alunite Al2O3,AluA,"alunite, Al2O3, AluA"
185,Iron Oxide,Fe2O3,"Fe2O3, iron oxide"
186,TitanoMagnetite,TiMag,"TiMag, titanomagnetite"
187,Magnetic HM,MAG1,"MAG1, magnetic hm"
210,Aluminous Clay,,aluminous clay
188,Altered Ilmenite,,altered ilmenite
128,Titanium Oxide,TiO2,"titanium oxide, TiO2"
191,Hi-Ti ( Hi-Ty ),,"Hi Ti, Hi Ty"
189,Hi-Ti Imenite,,Hi-Ti imenite
192,Si TiOx ( Siliceous Ti-Oxide ),,"Si TiOx, siliceous ti-oxide"
193,Hi-Ti Rutile,,"Hi-Ti rutile"
195,Rare Earth + Yttrium Oxide,TREO-Y,"TREO-Y, rare earth + yttrium oxide"
194,Potash (SOP_K2SO4),K2SO4,"potash, sop_k2so4, K2SO4"
199,Gold Eq.,,gold eq.
200,Manganese Carbonate,,manganese carbonate
201,Silver Eq.,,silver eq
179,Zirconium Dioxide,ZrO2,"zirconium dioxide, ZrO2"
105,Vanadium Oxide,V2O5,"vanadium oxide, V2O5"
203,Trona,,trona
204,Tanzanite,,tanzanite
205,Sapphire,,sapphire
206,Ruby,,ruby
207,Sodium Carbonate (Soda Ash),,"sodium carbonate, soda ash"
208,Pyrite,,pyrite
211,alumnium,1,alumnium
